tag_4294967297,tag_4295229441,tag_4295491585,tag_4295753729,tag_4296015873
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9952716827392578,0.0,0.0
0.0,0.9904003143310547,0.0,0.9276924133300781,0.0
0.0,0.0,0.8643665313720703,0.0,0.0
0.0,0.8171253204345703,0.0,0.9952716827392578,0.0
0.0,0.0,0.9870967864990234,0.0,0.0
0.0,0.9795894622802734,0.0,0.8643665313720703,0.0
0.0,0.0,0.7840385437011719,0.0,0.0
0.0,0.9773998260498047,0.0,0.9870967864990234,0.0
0.0,-0.24245262145996094,0.9718265533447266,0.0,0.0
0.0,0.9614963531494141,0.0,0.7840385437011719,0.0
0.0,0.9569911956787109,0.6810340881347656,0.0,0.0
0.0,0.0,0.0,0.9718265533447266,0.0
0.0,0.9516658782958984,0.9453191757202148,0.0,0.0
0.0,0.0,-0.3654775619506836,0.6810340881347656,0.0
0.0,0.5798416137695312,0.9137248992919922,0.0,0.0
0.0,0.0,0.0,0.9453191757202148,0.0
0.0,0.9137248992919922,0.9014139175415039,0.0,0.0
0.0,0.0,0.0,0.5482473373413086,0.0
0.0,0.9014139175415039,0.8864431381225586,0.0,0.0
0.0,0.0,0.8680610656738281,0.9014139175415039,0.0
0.0,0.8864431381225586,0.0,0.0,0.0
0.0,0.8680610656738281,0.8452491760253906,0.8864431381225586,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.8452491760253906,0.8166542053222656,0.8680610656738281,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.8166542053222656,1.397674560546875,0.8452491760253906,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1.397674560546875,0.7920756340026855,0.8166542053222656,0.0
0.0,0.0,0.0,0.5660190582275391,0.0
0.0,0.7920756340026855,0.7391819953918457,0.8316555023193359,0.0
0.0,0.0,0.6679434776306152,0.7920756340026855,0.0
0.0,0.7391819953918457,0.7462701797485352,0.0,0.0
0.0,0.6679434776306152,0.0,0.7391819953918457,0.0
0.0,0.7462701797485352,0.6568541526794434,0.6679434776306152,0.0
0.0,0.0,0.757359504699707,0.7462701797485352,0.0
