nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist,reward,value_estimate
0.0,-1.4500000178813934,-10.0,0.0,165.0,0.0,0.0,0.0,-4.20931339263916
-0.23530463874340057,0.41376248002052307,0.0,225.0,225.0,21.11806297302246,11.017838478088379,0.1784578412771225,-4.253910064697266
0.0,0.0,0.0,225.0,225.0,21.11806297302246,11.017838478088379,0.0,-4.244435787200928
-0.0554962158203125,0.39944154024124146,0.0,225.0,225.0,21.173559188842773,10.618396759033203,0.34394532442092896,-4.25651741027832
0.0,0.0,0.0,225.0,225.0,21.173559188842773,10.618396759033203,0.0,-4.270172119140625
-0.07323608547449112,0.39932259917259216,0.0,225.0,225.0,21.246797561645508,10.219073295593262,0.32608651369810104,-4.273082256317139
-0.0314151756465435,0.1992618590593338,0.0,225.0,225.0,21.27821159362793,10.019811630249023,0.1678466834127903,-4.272735118865967
-0.05912284925580025,0.19989871978759766,0.0,225.0,225.0,21.33733558654785,9.819913864135742,0.1407758705317974,-4.275603294372559
-0.040069580078125,0.1990741789340973,0.0,225.0,225.0,21.377405166625977,9.620840072631836,0.1590045988559723,-4.2767558097839355
-0.06725196540355682,0.1998564749956131,0.0,225.0,225.0,21.444656372070312,9.42098331451416,0.13260450959205627,-4.2771196365356445
-0.048496246337890625,0.8977557420730591,0.0,225.0,219.0,21.493152618408203,8.823225975036621,0.8492594957351685,-4.2772135734558105
0.0,-0.30484896898269653,0.0,219.0,219.0,21.493152618408203,8.828075408935547,-0.30484896898269653,-4.272889137268066
-0.056656647473573685,0.09822434186935425,0.0,207.0,213.0,21.549808502197266,8.429850578308105,0.04156769439578056,-4.277169704437256
0.0,-0.6000000238418579,0.0,195.0,213.0,21.549808502197266,8.429850578308105,-0.6000000238418579,-4.2772111892700195
-0.0645214095711708,0.19837206602096558,0.0,189.0,207.0,21.614330291748047,8.231478691101074,0.13385065644979477,-4.277313709259033
0.0,-1.1500000059604645,0.0,180.0,201.0,28.78179359436035,18.061758041381836,-1.1500000059604645,-4.277252674102783
0.0,-0.30000001192092896,0.0,174.0,201.0,28.78179359436035,18.061758041381836,-0.30000001192092896,-4.276979446411133
0.0,-0.30000001192092896,0.0,162.0,195.0,28.78179359436035,18.061758041381836,-0.30000001192092896,-4.278942584991455
0.0,-0.30000001192092896,0.0,156.0,195.0,28.78179359436035,18.061758041381836,-0.30000001192092896,-4.276795864105225
0.0,-0.30000001192092896,0.0,144.0,189.0,28.78179359436035,18.061758041381836,-0.30000001192092896,-4.279632091522217
0.0,-1.4500000178813934,0.0,135.0,189.0,35.761817932128906,27.887310028076172,-1.4500000178813934,-4.276528835296631
0.0,-0.19947274029254913,0.0,135.0,189.0,35.761817932128906,27.93838119506836,-0.19947274029254913,-4.676267147064209
0.0,0.0,0.0,135.0,189.0,35.761817932128906,27.93838119506836,0.0,-4.643721103668213
0.0,-0.19948609173297882,0.0,135.0,189.0,35.761817932128906,27.98954200744629,-0.19948609173297882,-4.64933967590332
0.0,-0.18906815350055695,0.0,135.0,189.0,35.761817932128906,27.9931697845459,-0.18906815350055695,-4.639383792877197
0.0,0.0,0.0,135.0,189.0,35.761817932128906,27.9931697845459,0.0,-4.691397190093994
0.0,0.0,0.0,135.0,189.0,35.761817932128906,27.9931697845459,0.0,-4.697710037231445
0.0,0.0,0.0,135.0,189.0,35.761817932128906,27.9931697845459,0.0,-4.704110145568848
0.0,0.0,0.0,135.0,189.0,35.761817932128906,27.9931697845459,0.0,-4.710594654083252
