nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist,reward,value_estimate,a_move,a_attack,a_noop,a_alive,u0,u1,u2,u3,u4,A_verb,A_direction,A_enemy_idx,A_selected
-0.5922813415527344,0.42734718322753906,-15.0,39.0,177.0,49.33659744262695,54.84369659423828,0.0,5.18102502822876,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.013601303100585938,0.19979019463062286,0.0,225.0,225.0,22.870145797729492,13.081094741821289,0.18618889153003693,5.487219333648682,0,2,3,5,0,0,0,2,2,2,5,5,2
0.14425277709960938,0.41832560300827026,0.0,225.0,225.0,22.725894927978516,12.662769317626953,0.5625783801078796,4.883197784423828,0,2,3,5,0,0,0,2,2,2,5,5,2
0.0,0.0,0.0,225.0,225.0,22.725894927978516,12.662769317626953,0.0,3.8995752334594727,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.0714847594499588,0.3993549346923828,0.0,225.0,225.0,22.797378540039062,12.26341438293457,0.327870175242424,3.708798408508301,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.048496246337890625,0.19956550002098083,0.0,225.0,225.0,22.845874786376953,12.063848495483398,0.1510692536830902,3.7890729904174805,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.040069580078125,0.19964714348316193,0.0,225.0,225.0,22.885944366455078,11.864201545715332,0.15957756340503693,3.185070514678955,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.056656647473573685,0.19945144653320312,0.0,225.0,225.0,22.94260025024414,11.664751052856445,0.14279479905962944,3.136268138885498,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.048496246337890625,0.19956550002098083,0.0,225.0,225.0,22.991098403930664,11.465185165405273,0.1510692536830902,3.800306797027588,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.1211780533194542,0.3987376093864441,0.0,225.0,225.0,23.112276077270508,11.066447257995605,0.2775595560669899,4.012955188751221,0,2,3,5,0,0,0,2,2,2,5,5,2
0.0,0.0,0.0,225.0,225.0,23.112276077270508,11.066447257995605,0.0,4.321108818054199,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.13658714294433594,0.3983192443847656,0.0,225.0,225.0,23.248863220214844,10.66812801361084,0.2617321014404297,4.3124823570251465,0,2,3,5,0,0,0,2,2,2,5,5,2
0.18743896484375,0.003021240234375,0.0,225.0,225.0,23.061424255371094,10.665106773376465,0.190460205078125,4.1576738357543945,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.15429572761058807,0.3981856405735016,0.0,225.0,225.0,23.21571922302246,10.266921043395996,0.2438899129629135,4.065093040466309,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.08613128960132599,0.19786162674427032,0.0,225.0,225.0,23.301851272583008,10.069059371948242,0.11173033714294434,3.9111318588256836,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.08241768181324005,-0.10061818361282349,0.0,219.0,225.0,23.384267807006836,9.86967658996582,-0.18303586542606354,3.843728542327881,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.0926361083984375,-0.1037350744009018,0.0,213.0,225.0,23.476903915405273,9.673412322998047,-0.1963711827993393,3.9511184692382812,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.0894264206290245,-0.1009591668844223,0.0,207.0,225.0,23.566329956054688,9.474371910095215,-0.1903855875134468,4.086113929748535,0,2,3,5,0,0,0,2,2,2,5,5,2
-0.0960468277335167,-0.20413362979888916,0.0,189.0,219.0,23.662378311157227,9.078505516052246,-0.30018045753240585,4.194723129272461,0,2,3,5,0,0,0,2,2,2,5,5,2
0.21828889846801758,-1.4398103654384613,0.0,180.0,219.0,24.930519104003906,19.08729362487793,-1.2215214669704437,4.276607990264893,0,2,3,5,0,0,0,2,2,2,5,5,2
0.0,-0.9000000357627869,0.0,156.0,213.0,24.930519104003906,19.08729362487793,-0.9000000357627869,6.153210163116455,0,0,4,4,0,0,0,0,-1,2,5,0,2
0.0,-0.30000001192092896,0.0,144.0,207.0,24.930519104003906,19.08729362487793,-0.30000001192092896,6.489847660064697,0,0,4,4,0,0,0,0,-1,2,5,0,2
0.0,-1.4500000178813934,0.0,135.0,207.0,26.373291015625,29.104236602783203,-1.4500000178813934,6.494126796722412,0,0,4,4,0,0,0,0,-1,2,5,0,2
0.0,0.0,0.0,135.0,207.0,26.373291015625,29.104236602783203,0.0,8.331075668334961,0,0,3,3,0,0,0,-1,-1,2,8,0,1
0.0,-0.1986064910888672,0.0,135.0,207.0,26.373291015625,29.292593002319336,-0.1986064910888672,8.323948860168457,0,0,3,3,0,0,0,-1,-1,2,8,0,1
0.0,0.0,0.0,135.0,207.0,26.373291015625,29.292593002319336,0.0,8.350421905517578,0,0,3,3,0,0,0,-1,-1,2,8,0,1
0.0,0.0,0.0,135.0,207.0,26.373291015625,29.292593002319336,0.0,8.343294143676758,0,0,3,3,0,0,0,-1,-1,2,8,0,1
0.0,0.0,0.0,135.0,207.0,26.373291015625,29.292593002319336,0.0,8.33617115020752,0,0,3,3,0,0,0,-1,-1,2,8,0,1
0.0,0.0,0.0,135.0,207.0,26.373291015625,29.292593002319336,0.0,8.3290433883667,0,0,3,3,0,0,0,-1,-1,2,8,0,1
0.0,0.0,0.0,135.0,207.0,26.373291015625,29.292593002319336,0.0,8.321917533874512,0,0,3,3,0,0,0,-1,-1,2,8,0,1
0.0,0.0,0.0,135.0,207.0,26.373291015625,29.292593002319336,0.0,8.314788818359375,0,0,3,3,0,0,0,-1,-1,2,8,0,1
