reward,value_estimate,a_move,a_attack,a_noop,a_alive,u0,u1,u2,u3,u4,A_verb,A_direction,A_enemy_idx,A_selected,nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist
0.0,0.42123544216156006,0,2,3,5,0,0,0,2,2,2,5,5,2,,,,,,,
0.2893981859087944,0.16288220882415771,0,2,3,5,0,0,0,2,2,2,5,5,2,0.0894264206290245,0.1999717652797699,0.0,225.0,225.0,23.9863224029541,12.211381912231445
0.27873534709215164,-0.0013114213943481445,0,2,3,5,0,0,0,2,2,2,5,5,2,0.07927284389734268,0.19946250319480896,0.0,225.0,225.0,23.90704917907715,12.011919021606445
0.28238391876220703,-0.1580263376235962,0,2,3,5,0,0,0,2,2,2,5,5,2,0.08241768181324005,0.19996623694896698,0.0,225.0,225.0,23.82463264465332,11.811952590942383
0.2714141830801964,0.05709207057952881,0,2,3,5,0,0,0,2,2,2,5,5,2,0.07206573337316513,0.19934844970703125,0.0,225.0,225.0,23.752567291259766,11.612604141235352
0.27498188614845276,0.07947146892547607,0,2,3,5,0,0,0,2,2,2,5,5,2,0.07502289116382599,0.19995899498462677,0.0,225.0,225.0,23.67754364013672,11.41264533996582
0.2637159302830696,-0.04947388172149658,0,2,3,5,0,0,0,2,2,2,5,5,2,0.0645214095711708,0.1991945207118988,0.0,225.0,225.0,23.613021850585938,11.21345043182373
0.5228363052010536,-0.19636023044586182,0,2,3,5,0,0,0,2,2,2,5,5,2,0.1239086166024208,0.3989276885986328,0.0,225.0,225.0,23.48911476135254,10.814522743225098
0.45977726578712463,-0.21789848804473877,0,2,3,5,0,0,0,2,2,2,5,5,2,0.2517585754394531,0.2080186903476715,0.0,225.0,225.0,23.237354278564453,10.6065034866333
0.25057516247034073,-0.3844720125198364,0,2,3,5,0,0,0,2,2,2,5,5,2,0.05065955966711044,0.19991560280323029,0.0,225.0,225.0,23.186695098876953,10.406587600708008
0.25057516247034073,-0.49896204471588135,0,2,3,5,0,0,0,2,2,2,5,5,2,0.05065955966711044,0.19991560280323029,0.0,225.0,225.0,23.136035919189453,10.206672668457031
0.24177923798561096,-0.5504390001296997,0,2,3,5,0,0,0,2,2,2,5,5,2,0.04189491271972656,0.1998843252658844,0.0,225.0,225.0,23.094139099121094,10.00678825378418
0.24177923798561096,-0.581154465675354,0,2,3,5,0,0,0,2,2,2,5,5,2,0.04189491271972656,0.1998843252658844,0.0,225.0,225.0,23.052244186401367,9.806904792785645
0.23270273953676224,-0.6027184724807739,0,2,3,5,0,0,0,2,2,2,5,5,2,0.03287086635828018,0.19983187317848206,0.0,225.0,225.0,23.01937484741211,9.607072830200195
-0.06729727238416672,-0.6306749582290649,0,2,3,5,0,0,0,2,2,2,5,5,2,0.03287086635828018,-0.1001681387424469,0.0,219.0,225.0,22.98650360107422,9.40723991394043
0.22336945869028568,-0.5851141214370728,0,2,3,5,0,0,0,2,2,2,5,5,2,0.023636246100068092,0.1997332125902176,0.0,219.0,225.0,22.962867736816406,9.207507133483887
-0.16287367790937424,-0.6142779588699341,0,2,3,5,0,0,0,2,2,2,5,5,2,0.03788147121667862,-0.20075514912605286,0.0,207.0,225.0,22.924985885620117,8.808262825012207
-0.08624311070889235,-0.5312553644180298,0,2,3,5,0,0,0,2,2,2,5,5,2,0.014245224185287952,-0.1004883348941803,0.0,201.0,225.0,22.91073989868164,8.60875129699707
-0.3964197696186602,-0.5102525949478149,0,2,3,5,0,0,0,2,2,2,5,5,2,0.0047592162154614925,-0.4011789858341217,0.0,189.0,225.0,22.905981063842773,8.409929275512695
-1.7955247163772583,-0.5273076295852661,0,2,3,5,0,0,0,2,2,2,5,5,2,0.0059490203857421875,-1.8014737367630005,0.0,168.0,225.0,29.9653263092041,20.63196563720703
-0.30000001192092896,-0.11489784717559814,0,0,4,4,0,0,0,0,-1,2,5,0,2,0.0,-0.30000001192092896,0.0,156.0,219.0,29.9653263092041,20.63196563720703
-0.6000000238418579,0.10434186458587646,0,0,4,4,0,0,0,0,-1,2,5,0,2,0.0,-0.6000000238418579,0.0,138.0,213.0,29.9653263092041,20.63196563720703
-1.1500000059604645,0.4708160161972046,0,0,4,4,0,0,0,0,-1,2,5,0,2,0.0,-1.1500000059604645,0.0,135.0,213.0,37.02942657470703,33.05282211303711
0.0,6.363525390625,0,0,3,3,0,0,0,-1,-1,2,5,0,1,0.0,0.0,0.0,135.0,213.0,37.02942657470703,33.05282211303711
0.0,6.343888282775879,0,0,3,3,0,0,0,-1,-1,2,5,0,1,0.0,0.0,0.0,135.0,213.0,37.02942657470703,33.05282211303711
0.0,6.324212074279785,0,0,3,3,0,0,0,-1,-1,2,5,0,1,0.0,0.0,0.0,135.0,213.0,37.02942657470703,33.05282211303711
0.0,6.304497241973877,0,0,3,3,0,0,0,-1,-1,2,5,0,1,0.0,0.0,0.0,135.0,213.0,37.02942657470703,33.05282211303711
0.0,6.28474235534668,0,0,3,3,0,0,0,-1,-1,2,5,0,1,0.0,0.0,0.0,135.0,213.0,37.02942657470703,33.05282211303711
0.0,6.26494026184082,0,0,3,3,0,0,0,-1,-1,2,5,0,1,0.0,0.0,0.0,135.0,213.0,37.02942657470703,33.05282211303711
0.0,6.245109558105469,0,0,3,3,0,0,0,-1,-1,2,5,0,1,0.0,0.0,0.0,135.0,213.0,37.02942657470703,33.05282211303711
0.0,6.225224494934082,0,0,3,3,0,0,0,-1,-1,2,5,0,1,0.0,0.0,0.0,135.0,213.0,37.02942657470703,33.05282211303711
