reward,value_estimate,nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist
0.0,13.221808433532715,,,,,,,
0.3326507657766342,13.178086280822754,0.13265076279640198,0.20000000298023224,0.0,225.0,225.0,29.916433334350586,22.009449005126953
0.6495441496372223,13.099298477172852,0.2498016357421875,0.3997425138950348,0.0,225.0,225.0,29.6666316986084,21.60970687866211
0.0,12.845459938049316,0.0,0.0,0.0,225.0,225.0,29.6666316986084,21.60970687866211
0.8092487454414368,12.83049488067627,0.404043972492218,0.40520477294921875,0.0,225.0,225.0,29.262588500976562,21.20450210571289
0.3151775375008583,12.648241996765137,0.11517753452062607,0.20000000298023224,0.0,225.0,225.0,29.147411346435547,21.004501342773438
0.31998711079359055,12.569513320922852,0.1199871078133583,0.20000000298023224,0.0,225.0,225.0,29.027423858642578,20.804500579833984
0.31004905700683594,12.447609901428223,0.1100490540266037,0.20000000298023224,0.0,225.0,225.0,28.917377471923828,20.604501724243164
0.3151775375008583,12.380813598632812,0.11517753452062607,0.20000000298023224,0.0,225.0,225.0,28.802196502685547,20.40450096130371
0.3045887053012848,12.28620433807373,0.10458870232105255,0.20000000298023224,0.0,225.0,225.0,28.69761085510254,20.20450210571289
0.31004905700683594,12.235306739807129,0.1100490540266037,0.20000000298023224,0.0,225.0,225.0,28.587560653686523,20.004501342773438
0.6033760160207748,12.15358829498291,0.20337601006031036,0.4000000059604645,0.0,225.0,225.0,28.384185791015625,19.604501724243164
0.3363349884748459,12.03064250946045,0.13633498549461365,0.20000000298023224,0.0,225.0,225.0,28.247852325439453,19.40450096130371
0.5914234220981598,11.981659889221191,0.1914234161376953,0.4000000059604645,0.0,225.0,225.0,28.056427001953125,19.004501342773438
0.6187820434570312,11.87569522857666,0.21878203749656677,0.4000000059604645,0.0,225.0,225.0,27.837642669677734,18.604501724243164
0.6213447600603104,11.669276237487793,0.2213447540998459,0.4000000059604645,0.0,225.0,225.0,27.616296768188477,18.20450210571289
0.2792728468775749,11.49128246307373,0.07927284389734268,0.20000000298023224,0.0,225.0,225.0,27.537023544311523,18.004501342773438
0.6106239408254623,11.379874229431152,0.21062393486499786,0.4000000059604645,0.0,225.0,225.0,27.326404571533203,17.604501724243164
0.5513385832309723,11.181344985961914,0.1513385772705078,0.4000000059604645,0.0,225.0,225.0,27.175064086914062,17.20450210571289
0.31998711079359055,10.961323738098145,0.1199871078133583,0.20000000298023224,0.0,225.0,225.0,27.05507469177246,17.004501342773438
0.5365871489048004,10.759549140930176,0.13658714294433594,0.4000000059604645,0.0,225.0,225.0,26.918487548828125,16.604501724243164
0.5718341916799545,10.495635986328125,0.17183418571949005,0.4000000059604645,0.0,225.0,225.0,26.746654510498047,16.20450210571289
0.26452141255140305,10.046483039855957,0.0645214095711708,0.20000000298023224,0.0,225.0,225.0,26.6821346282959,16.004501342773438
0.5585453063249588,9.960606575012207,0.15854530036449432,0.4000000059604645,0.0,225.0,225.0,26.523590087890625,15.604501724243164
0.5612453520298004,9.468974113464355,0.16124534606933594,0.4000000059604645,0.0,225.0,225.0,26.36234474182129,15.204501152038574
0.24006958305835724,9.121556282043457,0.040069580078125,0.20000000298023224,0.0,225.0,225.0,26.322275161743164,15.004501342773438
0.5472835600376129,8.88317584991455,0.14728355407714844,0.4000000059604645,0.0,225.0,225.0,26.174991607666016,14.604501724243164
0.4714847654104233,8.532465934753418,0.0714847594499588,0.4000000059604645,0.0,225.0,225.0,26.103504180908203,14.204501152038574
0.29263611137866974,8.241951942443848,0.0926361083984375,0.20000000298023224,0.0,225.0,225.0,26.0108699798584,14.00450325012207
0.45399170368909836,7.990346908569336,0.05399169772863388,0.4000000059604645,0.0,225.0,225.0,25.956878662109375,13.60450267791748
0.19973258674144745,7.741090774536133,0.09973259270191193,0.09999999403953552,0.0,219.0,225.0,25.85714340209961,13.204503059387207
-0.09815065562725067,6.480583190917969,0.10184936225414276,-0.20000001788139343,0.0,207.0,225.0,25.755298614501953,12.804502487182617
0.2045429260469973,4.264955520629883,0.00454292306676507,0.20000000298023224,0.0,207.0,225.0,25.750751495361328,12.60450267791748
-0.41433296352624893,4.222475528717041,0.08566703647375107,-0.5,0.0,183.0,219.0,25.665084838867188,12.204503059387207
-0.9852599203586578,-3.8925280570983887,0.16474008560180664,-1.1500000059604645,0.0,180.0,219.0,33.03001022338867,19.964122772216797
-0.1137198805809021,-7.925783634185791,0.08633041381835938,-0.20005029439926147,0.0,162.0,219.0,32.96094512939453,19.378311157226562
0.11581343412399292,-8.15053939819336,0.16581344604492188,-0.050000011920928955,0.0,150.0,213.0,32.82829666137695,19.17831039428711
-1.32223891466856,-8.019088745117188,0.09442774206399918,-1.4166666567325592,0.0,135.0,213.0,40.27289962768555,26.95208168029785
0.5478477627038956,-1.2135082483291626,0.21451441943645477,0.3333333432674408,0.0,135.0,213.0,40.14419174194336,26.7520809173584
0.7550487518310547,-1.448385238647461,0.2883148193359375,0.4667339324951172,0.0,135.0,213.0,39.97119903564453,26.523738861083984
0.4001159742474556,-2.045661687850952,0.0667826309800148,0.3333333432674408,0.0,135.0,213.0,39.931129455566406,26.323740005493164
0.5333118587732315,-2.180333375930786,0.1999785155057907,0.3333333432674408,0.0,135.0,213.0,39.8111457824707,26.12373924255371
0.38569197058677673,-2.577901840209961,0.05235862731933594,0.3333333432674408,0.0,135.0,213.0,39.77973175048828,25.92374038696289
0.5252958983182907,-2.7017557621002197,0.19196255505084991,0.3333333432674408,0.0,135.0,213.0,39.664554595947266,25.723739624023438
0.37096088007092476,-3.167879581451416,0.03762753680348396,0.3333333432674408,0.0,135.0,213.0,39.64197540283203,25.523738861083984
0.5167484432458878,-3.34702205657959,0.18341509997844696,0.3333333432674408,0.0,135.0,213.0,39.53192901611328,25.323740005493164
0.26365000009536743,-3.912642002105713,0.19698333740234375,0.06666666269302368,0.0,123.0,213.0,39.413734436035156,24.92374038696289
0.04090486979112029,-6.281076908111572,0.00757153844460845,0.03333333134651184,0.0,117.0,213.0,39.40919494628906,24.723739624023438
-0.10202117264270782,-7.494478702545166,0.1646455079317093,-0.2666666805744171,0.0,105.0,213.0,39.31040573120117,24.523738861083984
-0.30000001192092896,-9.487889289855957,0.0,-0.30000001192092896,0.0,93.0,207.0,39.31040573120117,24.523738861083984
-0.4184097349643707,-10.609636306762695,0.23159027099609375,-0.6500000059604645,0.0,90.0,207.0,46.719032287597656,32.28335952758789
0.0,-7.820065975189209,0.0,0.0,0.0,90.0,207.0,46.719032287597656,32.28335952758789
0.7153282165527344,-7.789429187774658,0.21532821655273438,0.5,0.0,90.0,207.0,46.63290023803711,32.08335876464844
0.0,-7.910061359405518,0.0,0.0,0.0,90.0,207.0,46.63290023803711,32.08335876464844
0.6981821060180664,-7.8799238204956055,0.1981821060180664,0.5,0.0,90.0,207.0,46.553627014160156,31.883358001708984
0.6801643371582031,-8.004435539245605,0.18016433715820312,0.5,0.0,90.0,207.0,46.48155975341797,31.683359146118164
0.8227863311767578,-8.120529174804688,0.3233165740966797,0.4994697570800781,0.0,90.0,207.0,46.35223388671875,31.483572006225586
1.4740734100341797,-8.433457374572754,0.4746561050415039,0.9994173049926758,0.0,90.0,207.0,46.16237258911133,31.083805084228516
0.0,-8.955344200134277,0.0,0.0,0.0,90.0,207.0,46.16237258911133,31.083805084228516
1.8556528091430664,-8.932557106018066,0.8432846069335938,1.0123682022094727,0.0,90.0,207.0,45.82505798339844,30.678857803344727
0.0,-9.476007461547852,0.0,0.0,0.0,90.0,207.0,45.82505798339844,30.678857803344727
1.421208381652832,-9.490263938903809,0.42120838165283203,1.0,0.0,90.0,207.0,45.656578063964844,30.278858184814453
0.6001739501953125,-10.092048645019531,0.1001739501953125,0.5,0.0,90.0,207.0,45.61650848388672,30.078857421875
0.7879438400268555,-10.276871681213379,0.28794384002685547,0.5,0.0,90.0,207.0,45.50132751464844,29.878856658935547
