nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist,reward,value_estimate,a_move,a_attack,a_noop,a_alive,A_verb,A_direction,A_enemy_idx,A_selected,env_reward,agent_r_hat,td_error
0.0,0.0,0.0,225.0,225.0,0.0,0.0,0.0,30.442180633544922,0,0,5,5,2,7,0,5,0.0,0.3120353317260758,-0.3120353317260758
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,30.434490203857422,0,0,5,5,2,7,0,5,0.0,0.32171892166137894,-0.32171892166137894
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,30.416940689086914,0,0,5,5,2,7,0,5,0.0,0.3349879455566409,-0.3349879455566409
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,30.38581085205078,0,0,5,5,2,7,0,5,0.0,0.35252651214599595,-0.35252651214599595
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,30.336650848388672,0,0,5,5,2,7,0,5,0.0,0.3747282028198242,-0.3747282028198242
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,30.264568328857422,0,0,5,5,2,7,0,5,0.0,0.4012381935119649,-0.4012381935119649
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,30.164979934692383,0,0,5,5,2,7,0,5,0.0,0.4300902748107909,-0.4300902748107909
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,30.035242080688477,0,0,5,5,2,7,0,5,0.0,0.4566581726074226,-0.4566581726074226
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,29.877357482910156,0,0,5,5,2,7,0,5,0.0,0.4734918975830098,-0.4734918975830098
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,29.70087432861328,0,0,5,5,2,7,0,5,0.0,0.47318670272827035,-0.47318670272827035
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,29.522916793823242,0,0,5,5,2,7,0,5,0.0,0.4570373535156236,-0.4570373535156236
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,29.359474182128906,0,0,5,5,2,7,0,5,0.0,0.4470057678222652,-0.4470057678222652
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,29.204513549804688,0,0,5,5,2,7,0,5,0.0,0.4921154403686536,-0.4921154403686536
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,29.002422332763672,0,0,5,5,2,7,0,5,0.0,0.6540704536438007,-0.6540704536438007
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,28.63469886779785,0,0,5,5,2,7,0,5,0.0,0.9407835006713867,-0.9407835006713867
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,27.973651885986328,0,0,5,5,2,7,0,5,0.0,1.1983408355712903,-1.1983408355712903
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,27.04576873779297,0,0,5,5,2,7,0,5,0.0,1.2197257041931167,-1.2197257041931167
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,26.086912155151367,0,0,5,5,2,7,0,5,0.0,1.0611069107055684,-1.0611069107055684
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,25.27859115600586,0,0,5,5,2,7,0,5,0.0,0.9208557701110855,-0.9208557701110855
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,24.60377311706543,0,0,5,5,2,7,0,5,0.0,0.8702448463439936,-0.8702448463439936
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,23.9732608795166,0,0,5,5,2,7,0,5,0.0,0.8812249946594228,-0.8812249946594228
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,23.325288772583008,0,0,5,5,2,7,0,5,0.0,0.9120840263366716,-0.9120840263366716
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,22.63960075378418,0,0,5,5,2,7,0,5,0.0,0.933672122955322,-0.933672122955322
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,21.925180435180664,0,0,5,5,2,7,0,5,0.0,0.9308558464050307,-0.9308558464050307
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,21.206388473510742,0,0,5,5,2,7,0,5,0.0,0.9003250694274918,-0.9003250694274918
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,20.51117515563965,0,0,5,5,2,7,0,5,0.0,0.8472688102722152,-0.8472688102722152
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,19.862531661987305,0,0,5,5,2,7,0,5,0.0,0.7808900642395038,-0.7808900642395038
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,19.274385452270508,0,0,5,5,2,7,0,5,0.0,0.7103842735290513,-0.7103842735290513
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,18.751516342163086,0,0,5,5,2,7,0,5,0.0,0.6426215744018542,-0.6426215744018542
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,18.291812896728516,0,0,5,5,2,7,0,5,0.0,0.5816670799255377,-0.5816670799255377
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,17.889036178588867,0,0,5,5,2,7,0,5,0.0,0.5292409324645995,-0.5292409324645995
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,17.535146713256836,0,0,5,5,2,7,0,5,0.0,0.4855327606201172,-0.4855327606201172
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,17.221832275390625,0,0,5,5,2,7,0,5,0.0,0.4498910713195805,-0.4498910713195805
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,16.941354751586914,0,0,5,5,2,7,0,5,0.0,0.42124902725219826,-0.42124902725219826
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,16.686975479125977,0,0,5,5,2,7,0,5,0.0,0.3984818077087411,-0.3984818077087411
0.0,0.0,0.0,225.0,225.0,23.624711990356445,25.633556365966797,0.0,16.45302391052246,0,0,5,5,2,7,0,5,0.0,0.3804922676086413,-0.3804922676086413
