nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist,reward,value_estimate,a_move,a_attack,a_noop,a_alive,A_verb,A_direction,A_enemy_idx,A_selected,env_reward,agent_r_hat,td_error
0.0,0.0,0.0,225.0,225.0,0.0,0.0,0.0,19.160367965698242,0,0,5,5,2,7,0,5,0.0,0.42300235748291115,-0.42300235748291115
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,18.926631927490234,0,0,5,5,2,7,0,5,0.0,0.4085214996337889,-0.4085214996337889
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,18.705162048339844,0,0,5,5,2,7,0,5,0.0,0.39817399978637624,-0.39817399978637624
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,18.491907119750977,0,0,5,5,2,7,0,5,0.0,0.3909903144836413,-0.3909903144836413
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,18.283754348754883,0,0,5,5,2,7,0,5,0.0,0.3861764526367182,-0.3861764526367182
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,18.07836151123047,0,0,5,5,2,7,0,5,0.0,0.383110408782958,-0.383110408782958
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,17.873991012573242,0,0,5,5,2,7,0,5,0.0,0.38134994506835795,-0.38134994506835795
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,17.669334411621094,0,0,5,5,2,7,0,5,0.0,0.38051753997802606,-0.38051753997802606
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,17.463451385498047,0,0,5,5,2,7,0,5,0.0,0.3803375434875491,-0.3803375434875491
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,17.25567054748535,0,0,5,5,2,7,0,5,0.0,0.3806295204162602,-0.3806295204162602
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,17.045495986938477,0,0,5,5,2,7,0,5,0.0,0.3812261199951159,-0.3812261199951159
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,16.832595825195312,0,0,5,5,2,7,0,5,0.0,0.38201450347900234,-0.38201450347900234
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,16.616748809814453,0,0,5,5,2,7,0,5,0.0,0.3829074859619155,-0.3829074859619155
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,16.39781951904297,0,0,5,5,2,7,0,5,0.0,0.3838432884216303,-0.3838432884216303
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,16.17573356628418,0,0,5,5,2,7,0,5,0.0,0.3847494125366211,-0.3847494125366211
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,15.950489044189453,0,0,5,5,2,7,0,5,0.0,0.38558712959289565,-0.38558712959289565
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,15.722123146057129,0,0,5,5,2,7,0,5,0.0,0.38632282257080064,-0.38632282257080064
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,15.490707397460938,0,0,5,5,2,7,0,5,0.0,0.3869222736358644,-0.3869222736358644
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,15.256348609924316,0,0,5,5,2,7,0,5,0.0,0.38735822677612397,-0.38735822677612397
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,15.019182205200195,0,0,5,5,2,7,0,5,0.0,0.3876046562194819,-0.3876046562194819
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,14.77937126159668,0,0,5,5,2,7,0,5,0.0,0.3876414775848396,-0.3876414775848396
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,14.537100791931152,0,0,5,5,2,7,0,5,0.0,0.3874526023864746,-0.3874526023864746
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,14.292573928833008,0,0,5,5,2,7,0,5,0.0,0.38700984954834006,-0.38700984954834006
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,14.046024322509766,0,0,5,5,2,7,0,5,0.0,0.3863023376464838,-0.3863023376464838
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,13.797698974609375,0,0,5,5,2,7,0,5,0.0,0.3853117656707763,-0.3853117656707763
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,13.547865867614746,0,0,5,5,2,7,0,5,0.0,0.38404270172119226,-0.38404270172119226
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,13.296791076660156,0,0,5,5,2,7,0,5,0.0,0.3824619293212894,-0.3824619293212894
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,13.044776916503906,0,0,5,5,2,7,0,5,0.0,0.38057152748107903,-0.38057152748107903
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,12.792126655578613,0,0,5,5,2,7,0,5,0.0,0.3783735847473153,-0.3783735847473153
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,12.539144515991211,0,0,5,5,2,7,0,5,0.0,0.37584565162658734,-0.37584565162658734
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,12.286160469055176,0,0,5,5,2,7,0,5,0.0,0.37300424575805735,-0.37300424575805735
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,12.033491134643555,0,0,5,5,2,7,0,5,0.0,0.3698412036895746,-0.3698412036895746
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,11.781464576721191,0,0,5,5,2,7,0,5,0.0,0.36635980606079066,-0.36635980606079066
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,11.53040885925293,0,0,5,5,2,7,0,5,0.0,0.3625699424743658,-0.3625699424743658
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,11.280645370483398,0,0,5,5,2,7,0,5,0.0,0.3584767150878907,-0.3584767150878907
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,11.032493591308594,0,0,5,5,2,7,0,5,0.0,0.3541106986999516,-0.3541106986999516
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,10.786245346069336,0,0,5,5,2,7,0,5,0.0,0.3494502639770509,-0.3494502639770509
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,10.542217254638672,0,0,5,5,2,7,0,5,0.0,0.3445438957214364,-0.3445438957214364
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,10.300680160522461,0,0,5,5,2,7,0,5,0.0,0.33940185546875057,-0.33940185546875057
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,10.061897277832031,0,0,5,5,2,7,0,5,0.0,0.3340484905242924,-0.3340484905242924
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,9.826109886169434,0,0,5,5,2,7,0,5,0.0,0.3285117053985598,-0.3285117053985598
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,9.593533515930176,0,0,5,5,2,7,0,5,0.0,0.3228172588348386,-0.3228172588348386
0.0,0.0,0.0,225.0,225.0,33.702247619628906,21.854690551757812,0.0,9.364359855651855,0,0,5,5,2,7,0,5,0.0,0.31699633598327637,-0.31699633598327637
