nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist,reward,value_estimate,a_move,a_attack,a_noop,a_alive,A_verb,A_direction,A_enemy_idx,A_selected,env_reward,agent_r_hat,td_error
0.0,0.0,0.0,225.0,225.0,0.0,0.0,0.0,20.879112243652344,0,0,5,5,0,1,1,4,0.0,0.2985106277465839,-0.2985106277465839
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.78848648071289,0,0,5,5,0,1,1,4,0.0,0.2921925735473643,-0.2921925735473643
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.703327178955078,0,0,5,5,0,1,1,4,0.0,0.2879383087158196,-0.2879383087158196
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.621604919433594,0,0,5,5,0,1,1,4,0.0,0.28520071029663185,-0.28520071029663185
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.54182243347168,0,0,5,5,0,1,1,4,0.0,0.283541831970215,-0.283541831970215
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.462909698486328,0,0,5,5,0,1,1,4,0.0,0.28267906188964886,-0.28267906188964886
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.384071350097656,0,0,5,5,0,1,1,4,0.0,0.282392959594727,-0.282392959594727
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.304725646972656,0,0,5,5,0,1,1,4,0.0,0.2825115394592288,-0.2825115394592288
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.224458694458008,0,0,5,5,0,1,1,4,0.0,0.282936248779297,-0.282936248779297
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.14295196533203,0,0,5,5,0,1,1,4,0.0,0.2835827064514156,-0.2835827064514156
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,20.059968948364258,0,0,5,5,0,1,1,4,0.0,0.28438812255859247,-0.28438812255859247
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.97533416748047,0,0,5,5,0,1,1,4,0.0,0.28529975891113324,-0.28529975891113324
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.88892364501953,0,0,5,5,0,1,1,4,0.0,0.28631071090698157,-0.28631071090698157
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.80061912536621,0,0,5,5,0,1,1,4,0.0,0.28738014221191577,-0.28738014221191577
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.710342407226562,0,0,5,5,0,1,1,4,0.0,0.28850349426269517,-0.28850349426269517
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.618019104003906,0,0,5,5,0,1,1,4,0.0,0.2896592521667465,-0.2896592521667465
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.523595809936523,0,0,5,5,0,1,1,4,0.0,0.2908412170410166,-0.2908412170410166
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.427024841308594,0,0,5,5,0,1,1,4,0.0,0.29204702377319336,-0.29204702377319336
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.32826042175293,0,0,5,5,0,1,1,4,0.0,0.29326866149902386,-0.29326866149902386
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.227264404296875,0,0,5,5,0,1,1,4,0.0,0.29450574874877944,-0.29450574874877944
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.123998641967773,0,0,5,5,0,1,1,4,0.0,0.29575601577758803,-0.29575601577758803
0.0,0.0,0.0,225.0,225.0,24.538244247436523,24.358383178710938,0.0,19.0184268951416,0,0,5,5,0,1,1,4,0.0,0.29700965881347585,-0.29700965881347585
