agent,version,variant,map_name,csv_path,checkpoint_steps,mean_nav_win_rate_percent,mean_combat_win_rate_percent,mean_win_rate_percent,seed_count,mean_episodes
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1551360,9.375,0.0,9.375,3,32.0
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1600512,4.166667,0.0,4.166667,3,32.0
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1651200,2.083333,0.0,2.083333,3,32.0
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1700352,1.041667,0.0,1.041667,3,32.0
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1751040,0.0,0.0,0.0,3,32.0
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1800192,0.0,0.0,0.0,3,32.0
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1850880,5.208333,0.0,5.208333,3,32.0
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1900032,13.541667,0.0,13.541667,3,32.0
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1950720,2.083333,0.0,2.083333,3,32.0
MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,2001408,17.708333,0.0,17.708333,3,32.0
