nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist,reward,value_estimate,a_move,a_attack,a_noop,a_alive,A_verb,A_direction,A_enemy_idx,A_selected
0.0,0.0,0.0,225.0,225.0,0.0,0.0,0.0,0.2808607816696167,0,2,3,5,2,5,5,2
0.08579330146312714,0.1994207352399826,0.0,225.0,225.0,23.01272201538086,10.826539039611816,0.28521403670310974,0.1304987668991089,0,2,3,5,2,5,5,2
0.15323372185230255,0.39924830198287964,0.0,225.0,225.0,22.859487533569336,10.427289962768555,0.5524820238351822,0.11903560161590576,0,2,3,5,2,5,5,2
0.06725196540355682,0.19994449615478516,0.0,225.0,225.0,22.792234420776367,10.227346420288086,0.267196461558342,-0.09542763233184814,0,2,3,5,2,5,5,2
-0.1190570816397667,0.20659713447093964,0.0,225.0,225.0,22.911291122436523,10.02074909210205,0.08754005283117294,-0.44108402729034424,0,2,3,5,2,5,5,2
0.05912284925580025,0.19992856681346893,0.0,225.0,225.0,22.852169036865234,9.820820808410645,0.2590514160692692,-0.5618339776992798,0,2,3,5,2,5,5,2
0.05912284925580025,0.19992856681346893,0.0,225.0,225.0,22.793048858642578,9.620892524719238,0.2590514160692692,-0.701457142829895,0,2,3,5,2,5,5,2
0.05065955966711044,0.19990482926368713,0.0,225.0,225.0,22.742389678955078,9.420988082885742,0.2505643889307976,-0.7426739931106567,0,2,3,5,2,5,5,2
0.05065955966711044,0.19990482926368713,0.0,225.0,225.0,22.691730499267578,9.22108268737793,0.2505643889307976,-0.7316504716873169,0,2,3,5,2,5,5,2
0.04189491271972656,0.1998668611049652,0.0,225.0,225.0,22.649831771850586,9.021215438842773,0.24176177382469177,-0.717776894569397,0,2,3,5,2,5,5,2
0.04189491271972656,0.1998668611049652,0.0,225.0,225.0,22.60793685913086,8.821348190307617,0.24176177382469177,-0.7343922853469849,0,2,3,5,2,5,5,2
0.06574173271656036,0.3996005952358246,0.0,225.0,225.0,22.54219627380371,8.421748161315918,0.46534232795238495,-0.7553340196609497,0,2,3,5,2,5,5,2
0.0,-0.40047934651374817,0.0,207.0,219.0,22.54219627380371,8.222227096557617,-0.40047934651374817,-0.7869755029678345,0,2,3,5,2,5,5,2
0.0,0.30000001192092896,0.0,207.0,213.0,22.54219627380371,8.222227096557617,0.30000001192092896,-0.787690281867981,0,2,3,5,2,5,5,2
0.0,-0.4005054831504822,0.0,189.0,207.0,22.54219627380371,8.022732734680176,-0.4005054831504822,-0.7089544534683228,0,2,3,5,2,5,5,2
0.0,0.0,0.0,177.0,195.0,22.54219627380371,8.022732734680176,0.0,-0.7111564874649048,0,2,3,5,2,5,5,2
0.0,-1.4500000178813934,0.0,168.0,195.0,29.56365966796875,19.82647705078125,-1.4500000178813934,-0.733035683631897,0,2,3,5,2,5,5,2
0.0,-0.6000000238418579,0.0,150.0,189.0,29.56365966796875,19.82647705078125,-0.6000000238418579,-1.9628349542617798,0,0,4,4,2,5,0,2
0.0,0.0,0.0,144.0,183.0,29.56365966796875,19.82647705078125,0.0,-1.653610348701477,0,0,4,4,2,5,0,2
0.0,-1.4500000178813934,0.0,135.0,183.0,36.585121154785156,31.630224227905273,-1.4500000178813934,-1.9410825967788696,0,0,4,4,2,5,0,2
0.0,0.0,0.0,135.0,183.0,36.585121154785156,31.630224227905273,0.0,3.4986534118652344,0,0,3,3,2,5,0,1
0.0,-0.19935162365436554,0.0,135.0,183.0,36.585121154785156,31.822162628173828,-0.19935162365436554,3.471860408782959,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,31.822162628173828,0.0,3.518502712249756,0,0,3,3,2,5,0,1
0.0,-0.19937579333782196,0.0,135.0,183.0,36.585121154785156,32.01416015625,-0.19937579333782196,3.4912023544311523,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.5360074043273926,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.508147716522217,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.4800920486450195,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.4518351554870605,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.4233736991882324,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.3947057723999023,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.365823745727539,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.3367204666137695,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.307405948638916,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.277866840362549,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.248100757598877,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.2181038856506348,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.1878714561462402,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.157400608062744,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.1266775131225586,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.0957226753234863,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.064499855041504,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.0330286026000977,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,3.0012974739074707,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.96929931640625,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.9370336532592773,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.904491901397705,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.871673107147217,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.838562488555908,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.805180549621582,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.7714881896972656,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.73750638961792,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.70322322845459,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.6686348915100098,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.6337313652038574,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.5985031127929688,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.5629677772521973,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.5270934104919434,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.4908909797668457,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.4543519020080566,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.4174728393554688,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.3802413940429688,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.3426613807678223,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.3047242164611816,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.2664108276367188,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.2277493476867676,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.188692569732666,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.14926815032959,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.1094603538513184,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.0692596435546875,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,2.028665065765381,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.9876588582992554,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.9462674856185913,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.9044455289840698,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.8622134923934937,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.8195594549179077,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.7764776945114136,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.7329643964767456,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.6890133619308472,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.6446164846420288,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.5997623205184937,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.5544723272323608,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.5087040662765503,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.4624842405319214,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.415789008140564,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.3686236143112183,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.3209789991378784,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.2728461027145386,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.2242320775985718,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.1751068830490112,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.1254981756210327,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.0753878355026245,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,1.024762511253357,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,0.9736331701278687,0,0,3,3,2,5,0,1
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,0.9219845533370972,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,0.8698214292526245,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,0.8171218633651733,0,0,3,3,2,5,0,0
0.0,0.0,0.0,135.0,183.0,36.585121154785156,32.01416015625,0.0,0.7639158964157104,0,0,3,3,2,5,0,0
