name,shape,dtype,n,mean,std,min,max,p0,p0.1,p1,p5,p50,p95,p99,p99.9,p100
mlp_extractor.policy_net.2.weight,"(64, 64)",torch.float32,4096,0.000624925596639514,0.23485583066940308,-1.1068449020385742,1.0985000133514404,-1.1068449020385742,-0.8975220283865929,-0.5880689829587936,-0.37609022855758667,-0.001005392346996814,0.37838370352983475,0.5449734896421442,0.9572060972452465,1.0985000133514404
action_net.weight,"(28, 64)",torch.float32,1792,0.0004058198246639222,0.17628930509090424,-0.8612196445465088,0.6615269184112549,-0.8612196445465088,-0.6862622584700584,-0.4469670987129211,-0.28325469642877577,0.0006568534881807864,0.2838258951902385,0.45067320883274076,0.6060607405305027,0.6615269184112549
action_net.bias,"(28,)",torch.float32,28,-0.0062521761283278465,0.16243307292461395,-0.32400617003440857,0.32400617003440857,-0.32400617003440857,-0.32121346540749074,-0.29607912376523016,-0.2120086133480072,-0.028260319493710995,0.2577217921614647,0.30760935693979263,0.3223664887249471,0.32400617003440857
mlp_extractor.policy_net.0.weight,"(64, 595)",torch.float32,38080,-0.0009072886896319687,0.07277203351259232,-0.8354170322418213,0.9088079929351807,-0.8354170322418213,-0.42632054659724233,-0.18269813150167466,-0.10823312364518642,-0.00022139713109936565,0.10490370653569672,0.17192701891064638,0.388122140407566,0.9088079929351807
mlp_extractor.policy_net.2.bias,"(64,)",torch.float32,64,-0.0020940061658620834,0.048848707228899,-0.08713429421186447,0.08889508992433548,-0.08713429421186447,-0.08678645341098308,-0.08365588620305062,-0.07165424600243568,-0.0053588037844747305,0.08398270010948179,0.08673714146018027,0.08867929507791998,0.08889508992433548
mlp_extractor.policy_net.0.bias,"(64,)",torch.float32,64,-0.0018593858694657683,0.014205207116901875,-0.04025331884622574,0.04346117377281189,-0.04025331884622574,-0.04007863099873066,-0.03850644037127495,-0.022296012006700037,-0.001453141332603991,0.021138011291623068,0.03944342650473116,0.04305939904600385,0.04346117377281189
