nav_r,combat_r,term_r,friend_hp,enemy_hp,nav_dist,combat_dist,reward,value_estimate,a_move,a_attack,a_noop,a_alive,A_verb,A_direction,A_enemy_idx,A_selected,env_reward,agent_r_hat,td_error
0.0,0.0,0.0,225.0,225.0,0.0,0.0,0.0,-0.2450186014175415,0,2,3,5,2,5,5,2,0.0,-0.06393195271492005,0.06393195271492005
0.09294891357421875,0.19885043799877167,0.0,225.0,225.0,24.080921173095703,10.229963302612305,0.2917993515729904,-0.1829158067703247,0,2,3,5,2,5,5,2,0.2917993515729904,0.011232513189315785,0.28056683838367463
0.0894264206290245,0.20000000298023224,0.0,225.0,225.0,23.99149513244629,10.029963493347168,0.28942642360925674,-0.19610941410064697,0,2,3,5,2,5,5,2,0.28942642360925674,-0.15148510575294494,0.4409115293622017
0.08579330146312714,0.19855889678001404,0.0,225.0,225.0,23.905702590942383,9.831404685974121,0.2843521982431412,-0.045075058937072754,0,2,3,5,2,5,5,2,0.2843521982431412,0.16637269377708436,0.11797950446605682
0.1606285125017166,0.3981409966945648,0.0,225.0,225.0,23.745073318481445,9.433263778686523,0.5587695091962814,-0.2135835886001587,0,2,3,5,2,5,5,2,0.5587695091962814,0.1628267133235931,0.3959427958726883
0.07502289116382599,0.20000000298023224,0.0,225.0,225.0,23.6700496673584,9.23326301574707,0.2750228941440582,-0.3802124261856079,0,2,3,5,2,5,5,2,0.2750228941440582,0.012249630689620983,0.26277326345443724
0.07020759582519531,0.19751214981079102,0.0,225.0,225.0,23.599842071533203,9.035751342773438,0.26771974563598633,-0.39642632007598877,0,2,3,5,2,5,5,2,0.26771974563598633,0.07669671416282653,0.1910230314731598
0.06725196540355682,0.20000000298023224,0.0,225.0,225.0,23.532588958740234,8.8357515335083,0.26725196838378906,-0.47790205478668213,0,2,3,5,2,5,5,2,0.26725196838378906,0.05655074000358584,0.21070122838020322
0.06180153042078018,0.19650307297706604,0.0,225.0,225.0,23.470788955688477,8.639248847961426,0.2583046033978462,-0.5398513078689575,0,2,3,5,2,5,5,2,0.2583046033978462,0.017082818746566808,0.24122178465127941
0.05912284925580025,0.20000000298023224,0.0,225.0,225.0,23.411666870117188,8.439249038696289,0.2591228522360325,-0.5625597238540649,0,2,3,5,2,5,5,2,0.2591228522360325,0.024075554609298666,0.23504729762673382
0.05301704257726669,-0.10526329278945923,0.0,219.0,225.0,23.3586483001709,8.244511604309082,-0.052246250212192535,-0.592560887336731,0,2,3,5,2,5,5,2,-0.052246250212192535,-0.04819181561470032,-0.004054434597492218
0.09454955905675888,0.39123257994651794,0.0,219.0,225.0,23.26409912109375,7.853279113769531,0.4857821390032768,-0.5498677492141724,0,2,3,5,2,5,5,2,0.4857821390032768,0.04312582373619078,0.44265631526708604
0.0,-0.30000001192092896,0.0,213.0,225.0,23.26409912109375,7.853279113769531,-0.30000001192092896,-0.5989834070205688,0,2,3,5,2,5,5,2,-0.30000001192092896,-0.06699056267738346,-0.2330094492435455
0.04189491271972656,0.19999998807907104,0.0,207.0,219.0,23.222204208374023,7.6532793045043945,0.2418949007987976,-0.537366509437561,0,2,3,5,2,5,5,2,0.2418949007987976,0.1602072942256928,0.08168760657310481
0.03287086635828018,-0.8028483986854553,0.0,183.0,219.0,23.189334869384766,7.25612735748291,-0.7699775323271751,-0.7046200037002563,0,2,3,5,2,5,5,2,-0.7699775323271751,-0.3860806143283844,-0.3838969179987908
-0.20428133010864258,-1.1535805463790894,0.0,168.0,213.0,30.772022247314453,19.241016387939453,-1.357861876487732,-0.3217569589614868,0,2,3,5,2,5,5,2,-1.357861876487732,0.37029694437980654,-1.7281588208675385
0.0,-0.30000001192092896,0.0,156.0,207.0,30.772022247314453,19.241016387939453,-0.30000001192092896,-0.6990443468093872,0,0,4,4,2,5,0,2,-0.30000001192092896,-0.10972677350044246,-0.1902732384204865
0.0,-0.9000000357627869,0.0,138.0,207.0,30.772022247314453,19.241016387939453,-0.9000000357627869,-0.5952702760696411,0,0,4,4,2,5,0,2,-0.9000000357627869,-2.2040173256397244,1.3040172898769378
0.0,-1.3494069576263428,0.0,135.0,207.0,38.191287994384766,31.654916763305664,-1.3494069576263428,1.6249970197677612,0,0,4,4,2,5,0,2,-1.3494069576263428,-4.681492166519165,3.3320852088928223
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.3701910972595215,0,0,3,3,2,5,0,1,0.0,0.08175382137298559,-0.08175382137298559
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.351956844329834,0,0,3,3,2,5,0,1,0.0,0.08157147884368943,-0.08157147884368943
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.3337225914001465,0,0,3,3,2,5,0,1,0.0,0.08141321182251016,-0.08141321182251016
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.315464019775391,0,0,3,3,2,5,0,1,0.0,0.0812315702438351,-0.0812315702438351
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.297204494476318,0,0,3,3,2,5,0,1,0.0,0.08107399463653575,-0.08107399463653575
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.278919696807861,0,0,3,3,2,5,0,1,0.0,0.08089020252227819,-0.08089020252227819
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.260635852813721,0,0,3,3,2,5,0,1,0.0,0.08073332786560083,-0.08073332786560083
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.242325782775879,0,0,3,3,2,5,0,1,0.0,0.08055872440338163,-0.08055872440338163
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.2240071296691895,0,0,3,3,2,5,0,1,0.0,0.08038686752319357,-0.08038686752319357
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.205677032470703,0,0,3,3,2,5,0,1,0.0,0.08022480964660694,-0.08022480964660694
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.187325477600098,0,0,3,3,2,5,0,1,0.0,0.08003893375396753,-0.08003893375396753
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.168976306915283,0,0,3,3,2,5,0,1,0.0,0.07988376617431658,-0.07988376617431658
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.150598526000977,0,0,3,3,2,5,0,1,0.0,0.07969904422759999,-0.07969904422759999
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.132221698760986,0,0,3,3,2,5,0,1,0.0,0.0795445442199707,-0.0795445442199707
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.1138153076171875,0,0,3,3,2,5,0,1,0.0,0.07936708927154523,-0.07936708927154523
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.095402240753174,0,0,3,3,2,5,0,1,0.0,0.07919664859771736,-0.07919664859771736
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.076975345611572,0,0,3,3,2,5,0,1,0.0,0.07902606964111314,-0.07902606964111314
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.058534622192383,0,0,3,3,2,5,0,1,0.0,0.07885676860809365,-0.07885676860809365
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.040078639984131,0,0,3,3,2,5,0,1,0.0,0.0786920356750489,-0.0786920356750489
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.021602630615234,0,0,3,3,2,5,0,1,0.0,0.0785086917877198,-0.0785086917877198
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,6.003125190734863,0,0,3,3,2,5,0,1,0.0,0.07835318565368699,-0.07835318565368699
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,5.984618186950684,0,0,3,3,2,5,0,1,0.0,0.07816905975341815,-0.07816905975341815
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,5.9661102294921875,0,0,3,3,2,5,0,1,0.0,0.0780132484436038,-0.0780132484436038
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,5.947572708129883,0,0,3,3,2,5,0,1,0.0,0.07783920288085966,-0.07783920288085966
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,5.929023742675781,0,0,3,3,2,5,0,1,0.0,0.0776659870147709,-0.0776659870147709
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,5.910462379455566,0,0,3,3,2,5,0,1,0.0,0.07750492095947248,-0.07750492095947248
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,5.891876220703125,0,0,3,3,2,5,0,1,0.0,0.07732000350952184,-0.07732000350952184
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,5.873289108276367,0,0,3,3,2,5,0,1,0.0,0.07716717720031774,-0.07716717720031774
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,5.854668617248535,0,0,3,3,2,5,0,1,0.0,0.07698286056518544,-0.07698286056518544
0.0,0.0,0.0,135.0,207.0,38.191287994384766,31.654916763305664,0.0,5.83604621887207,0,0,3,3,2,5,0,1,0.0,0.07682779312133814,-0.07682779312133814
