episode,seed,return,length,outcome
0,4242,-0.05633204826153815,599,timeout_loss
1,4243,3.1436579972505587,130,combat_loss
2,4244,37.971771777421246,127,combat_loss
3,4245,35.97451878450812,116,combat_loss
4,4246,44.92547907028347,272,nav_win
