grid,grid_label,agent,agent_type,version,variant,map_name,source_path,total_episodes,training_seed_count,evaluation_sc2_seed_count,final_checkpoint_steps,notes,nav_win_count,nav_win_percent,combat_win_count,combat_win_percent,combat_loss_count,combat_loss_percent,timeout_loss_count,timeout_loss_percent
2m,"2M, 8 eval envs, 5 training seeds",MaskPPO,learned_final_checkpoint,V3,Base,V3_Base,MaskPPO\V3_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,22,13.75,0,0.0,0,0.0,138,86.25
2m,"2M, 8 eval envs, 5 training seeds",MaskPPO,learned_final_checkpoint,V3,Combat,V3_Combat,MaskPPO\V3_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,18,11.25,0,0.0,0,0.0,142,88.75
2m,"2M, 8 eval envs, 5 training seeds",MaskPPO,learned_final_checkpoint,V3,Navigate,V3_Navigate,MaskPPO\V3_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv,160,5,,2001408,Pooled final eligible checkpoint across training seeds.,60,37.5,0,0.0,0,0.0,100,62.5
2m,"2M, 8 eval envs, 5 training seeds",QMIX,learned_final_checkpoint,V1,Base,V1_Base,Qmix_reduced\V1_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2000000,Pooled final eligible checkpoint across training seeds.,16,10.0,0,0.0,0,0.0,144,90.0
2m,"2M, 8 eval envs, 5 training seeds",QMIX,learned_final_checkpoint,V1,Combat,V1_Combat,Qmix_reduced\V1_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2000000,Pooled final eligible checkpoint across training seeds.,12,7.5,1,0.625,18,11.25,129,80.625
2m,"2M, 8 eval envs, 5 training seeds",QMIX,learned_final_checkpoint,V1,Navigate,V1_Navigate,Qmix_reduced\V1_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2000000,Pooled final eligible checkpoint across training seeds.,28,17.5,0,0.0,0,0.0,132,82.5
2m,"2M, 8 eval envs, 5 training seeds",QMIX,learned_final_checkpoint,V2,Base,V2_Base,Qmix_reduced\V2_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2000000,Pooled final eligible checkpoint across training seeds.,1,0.625,0,0.0,0,0.0,159,99.375
2m,"2M, 8 eval envs, 5 training seeds",QMIX,learned_final_checkpoint,V2,Combat,V2_Combat,Qmix_reduced\V2_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2000000,Pooled final eligible checkpoint across training seeds.,6,3.75,0,0.0,6,3.75,148,92.5
2m,"2M, 8 eval envs, 5 training seeds",QMIX,learned_final_checkpoint,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2000000,Pooled final eligible checkpoint across training seeds.,19,11.875,0,0.0,0,0.0,141,88.125
2m,"2M, 8 eval envs, 5 training seeds",QMIX,learned_final_checkpoint,V3,Base,V3_Base,Qmix_reduced\V3_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,160,5,,2000000,Pooled final eligible checkpoint across training seeds.,21,13.125,0,0.0,0,0.0,139,86.875
