grid,grid_label,map_variant,agent,agent_type,training_seed_count,training_seeds,evaluation_episodes,final_checkpoint_steps,final_mean_win_rate_percent,min_seed_win_rate_percent,max_seed_win_rate_percent,nav_win_percent,combat_win_percent,combat_loss_percent,timeout_loss_percent,source_path
2m,"2M, 8 eval envs, 5 training seeds",V2_Navigate,QMIX,learned,5,761503082;847312379;1905409104;2043117872;2125422289,160,2000000,11.875000,0.0,37.5,11.875000,0.000000,0.000000,88.125000,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V2_Navigate,MaskPPO,learned,5,788967690;823800835;1179044900;1462458164;1471345808,160,2001408,34.375000,0.0,78.125,34.375000,0.000000,0.000000,65.625000,MaskPPO\V2_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V2_Navigate,MAPPO,learned,5,37233611;540310214;631185455;834071005;969072527,160,2001408,58.125000,40.625,75.0,58.125000,0.000000,0.000000,41.875000,MAPPO_reduced\V2_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V2_Navigate,Scripted oracle,fixed_non_learning_policy,0,,32,,28.125000,,,0.000000,28.125000,71.875000,0.000000,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Base,QMIX,learned,5,270092183;398996532;584539864;712587550;1069274423,160,2000000,13.125000,0.0,28.125,13.125000,0.000000,0.000000,86.875000,Qmix_reduced\V3_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Base,MaskPPO,learned,5,180828975;707129798;997848437;1441845701;1757819416,160,2001408,13.750000,6.25,25.0,13.750000,0.000000,0.000000,86.250000,MaskPPO\V3_Base\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Base,MAPPO,learned,5,647663452;1559497894;1638245842;1689621051;1822200075,160,2001408,4.375000,0.0,9.375,4.375000,0.000000,0.000000,95.625000,MAPPO_reduced\V3_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Base,Scripted oracle,fixed_non_learning_policy,0,,32,,0.000000,,,0.000000,0.000000,100.000000,0.000000,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Combat,QMIX,learned,5,231572513;764010961;942545018;1136575723;1672325527,160,2000000,4.375000,0.0,12.5,4.375000,0.000000,10.625000,85.000000,Qmix_reduced\V3_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Combat,MaskPPO,learned,5,168567380;306074832;487977976;1446402965;2077384459,160,2001408,11.250000,6.25,15.625,11.250000,0.000000,0.000000,88.750000,MaskPPO\V3_Combat\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Combat,MAPPO,learned,5,51665812;349657422;643785429;832026900;1257888824,160,2001408,4.375000,0.0,9.375,4.375000,0.000000,3.125000,92.500000,MAPPO_reduced\V3_Combat\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Combat,Scripted oracle,fixed_non_learning_policy,0,,32,,0.000000,,,0.000000,0.000000,100.000000,0.000000,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Navigate,QMIX,learned,5,255410368;802001348;1178600272;1635725792;1868760108,160,2000000,16.250000,0.0,40.625,16.250000,0.000000,0.000000,83.750000,Qmix_reduced\V3_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Navigate,MaskPPO,learned,5,478298399;813114563;1058436934;1366468300;1810085978,160,2001408,37.500000,0.0,90.625,37.500000,0.000000,0.000000,62.500000,MaskPPO\V3_Navigate\MaskPPO_NS_reduced\checkpoint_sweep\checkpoint_metrics_32ep_det_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Navigate,MAPPO,learned,5,276444882;842086084;848688248;957512902;2042335000,160,2001408,76.250000,46.875,96.875,76.250000,0.000000,0.000000,23.750000,MAPPO_reduced\V3_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv
2m,"2M, 8 eval envs, 5 training seeds",V3_Navigate,Scripted oracle,fixed_non_learning_policy,0,,32,,0.000000,,,0.000000,0.000000,100.000000,0.000000,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv
