grid,grid_label,agent,agent_type,version,variant,map_name,source_path,total_episodes,training_seed_count,evaluation_sc2_seed_count,final_checkpoint_steps,notes,nav_win_count,nav_win_percent,combat_win_count,combat_win_percent,combat_loss_count,combat_loss_percent,timeout_loss_count,timeout_loss_percent
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V1,Base,V1_Base,Qmix_reduced\V1_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,10,10.416667,0,0.0,0,0.0,86,89.583333
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V1,Combat,V1_Combat,Qmix_reduced\V1_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,10,10.416667,0,0.0,0,0.0,86,89.583333
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V1,Navigate,V1_Navigate,Qmix_reduced\V1_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,31,32.291667,0,0.0,0,0.0,65,67.708333
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V2,Base,V2_Base,Qmix_reduced\V2_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,23,23.958333,0,0.0,0,0.0,73,76.041667
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V2,Combat,V2_Combat,Qmix_reduced\V2_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,15,15.625,0,0.0,2,2.083333,79,82.291667
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V2,Navigate,V2_Navigate,Qmix_reduced\V2_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,20,20.833333,0,0.0,0,0.0,76,79.166667
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V3,Base,V3_Base,Qmix_reduced\V3_Base\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,1,1.041667,0,0.0,0,0.0,95,98.958333
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V3,Combat,V3_Combat,Qmix_reduced\V3_Combat\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,9,9.375,0,0.0,10,10.416667,77,80.208333
10m,"10M, 8 eval envs",QMIX,learned_final_checkpoint,V3,Navigate,V3_Navigate,Qmix_reduced\V3_Navigate\QMIX_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,96,3,,10000000,Pooled final eligible checkpoint across training seeds.,1,1.041667,0,0.0,0,0.0,95,98.958333
10m,"10M, 8 eval envs",Scripted oracle,fixed_non_learning_policy,V1,Base,V1_Base,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,31,96.875,1,3.125,0,0.0
10m,"10M, 8 eval envs",Scripted oracle,fixed_non_learning_policy,V1,Combat,V1_Combat,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,32,100.0,0,0.0,0,0.0
10m,"10M, 8 eval envs",Scripted oracle,fixed_non_learning_policy,V1,Navigate,V1_Navigate,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,32,100.0,0,0.0,0,0.0
10m,"10M, 8 eval envs",Scripted oracle,fixed_non_learning_policy,V2,Base,V2_Base,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,12,37.5,20,62.5,0,0.0
10m,"10M, 8 eval envs",Scripted oracle,fixed_non_learning_policy,V2,Combat,V2_Combat,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,8,25.0,24,75.0,0,0.0
10m,"10M, 8 eval envs",Scripted oracle,fixed_non_learning_policy,V2,Navigate,V2_Navigate,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,9,28.125,23,71.875,0,0.0
10m,"10M, 8 eval envs",Scripted oracle,fixed_non_learning_policy,V3,Base,V3_Base,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,0,0.0,32,100.0,0,0.0
10m,"10M, 8 eval envs",Scripted oracle,fixed_non_learning_policy,V3,Combat,V3_Combat,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,0,0.0,32,100.0,0,0.0
10m,"10M, 8 eval envs",Scripted oracle,fixed_non_learning_policy,V3,Navigate,V3_Navigate,Scripted\scripted_32ep_seed0_20260731\scripted_summary.csv,32,0,32,,One fixed-policy evaluation; no training checkpoint.,0,0.0,0,0.0,32,100.0,0,0.0
